Date,Open,High,Low,Close,Adj Close,Volume
2021-07-21,18.882000,19.527000,18.742001,19.410000,19.374973,371017000
2021-07-22,19.642000,19.886999,19.275999,19.594000,19.558647,323826000
2021-07-23,19.656000,19.700001,19.250000,19.558001,19.522711,195672000
2021-07-26,19.311001,19.441999,18.914000,19.294001,19.259186,203943000
2021-07-27,19.264999,19.622000,18.740999,19.208000,19.173342,248863000
2021-07-28,19.319000,19.646000,18.995001,19.503000,19.467810,202191000
2021-07-29,19.518999,19.853001,19.327999,19.662001,19.626524,190781000
2021-07-30,19.417999,19.629999,19.263000,19.499001,19.463818,183497000
2021-08-02,19.700001,19.961000,19.361000,19.750000,19.714363,217444000
2021-08-03,19.740000,20.222000,19.219999,19.815001,19.779245,301811000
2021-08-04,19.990000,20.318001,19.827999,20.274000,20.237417,231309000
2021-08-05,20.500000,20.733000,20.341999,20.636999,20.599764,211435000
2021-08-06,20.524000,20.570000,20.209999,20.365999,20.329250,178497000
2021-08-09,20.445999,20.507999,20.143000,20.295000,20.258381,146443000
2021-08-10,20.322001,20.430000,19.834999,19.936001,19.900028,179238000
2021-08-11,20.042999,20.049000,19.430000,19.698999,19.663454,185925000
2021-08-12,19.870001,20.028999,19.620001,19.905001,19.869085,151652000
2021-08-13,19.905001,20.214001,19.851000,20.188000,20.151571,183063000
2021-08-16,20.135000,20.287001,19.452999,19.950001,19.914001,210876000
2021-08-17,19.684999,19.770000,19.267000,19.458000,19.422890,204585000
2021-08-18,19.500000,19.634001,19.000000,19.040001,19.005644,285913000
2021-08-19,19.493999,20.495001,18.761999,19.798000,19.762276,766555000
2021-08-20,19.990999,20.865000,19.933001,20.816000,20.778437,675741000
2021-08-23,20.971001,21.997000,20.950001,21.958000,21.918377,575807000
2021-08-24,21.753000,21.959000,21.535000,21.792999,21.753674,297299000
2021-08-25,21.737000,22.469999,21.722000,22.212999,22.172920,347701000
2021-08-26,22.200001,22.340000,21.790001,22.068001,22.028179,237940000
2021-08-27,22.184000,22.722000,22.167000,22.636000,22.595154,304722000
2021-08-30,22.830000,23.042999,22.551001,22.688000,22.647058,262580000
2021-08-31,22.695000,22.695000,22.120001,22.385000,22.348545,259850000
2021-09-01,22.485001,22.697001,22.357000,22.441000,22.404453,201767000
2021-09-02,22.518000,22.593000,22.295000,22.396000,22.359528,187834000
2021-09-03,22.325001,22.986000,22.200001,22.843000,22.805803,280532000
2021-09-07,22.833000,22.899000,22.521999,22.662001,22.625099,198107000
2021-09-08,22.513000,22.610001,21.976999,22.339001,22.302624,254434000
2021-09-09,22.312000,22.538000,22.131001,22.177000,22.140888,196856000
2021-09-10,22.348000,22.625999,22.270000,22.478001,22.441395,248376000
2021-09-13,22.684000,22.964001,21.858000,22.152000,22.115925,297500000
2021-09-14,22.275000,22.410000,22.086000,22.242001,22.205782,199755000
2021-09-15,22.309000,22.367001,21.966000,22.341000,22.304619,166538000
2021-09-16,22.183001,22.277000,21.927000,22.242001,22.205782,156033000
2021-09-17,22.299999,22.320999,21.830000,21.900000,21.864338,294503000
